country_name,iso3,date,year,month,electricity_demand_mwh,solar_generation_mwh,wind_generation_mwh,temperature_c,population_millions,gdp_usd,latitude,longitude,data_source,notes
France,FRA,2020-08-01,2020,8,44639.0,1815.4,7419.6,21.38,67.8,"3,860,400",46.2,2.2,demo_v1,
Spain,ESP,2016-03-01,2016,3,29553.0,2092.3,2953.7,4.14,47.4,"2,266,800",40.5,-3.7,demo_v1,
Poland,POL,2023-01-01,2023,1,301727.7,897.5,1288.6,-2.51,37.8,"1,465,200",52.0,19.1,demo_v1,
Poland,POL,2016-03-01,2016,3,17481.1,,1021.8,1.42,37.8,"1,366,800",52.0,19.1,demo_v1,
France,FRA,2015-02-01,2015,2,49157.609000000004,,1087.2,-0.39,67.8,"3,781,200",46.2,2.2,demo_v1,
Spain,ESP,2022-06-01,2022,6,29465.4,1225.5,2489.7,18.73,47.4,"2,356,800",40.5,-3.7,demo_v1,
United States,USA,2019-08-01,2019,8,390648.8,26360.9,68036.6,18.17,331.9,"34,266,000",39.8,-98.6,demo_v1,
Poland,POL,2021-11-01,2021,11,251428.8,1236.1,619.0,3.54,37.8,"1,448,400",52.0,19.1,demo_v1,
France,FRA,2023-01-01,2023,1,68805.8,,672.5,-2.56,67.8,"3,895,200",46.2,2.2,demo_v1,
Spain,ESP,2015-12-01,2015,12,28974.7,2465.7,2682.7,2.42,47.4,"2,263,200",40.5,-3.7,demo_v1,
Poland,POL,2019-09-01,2019,9,18063.7,,2620.4,19.4,37.8,"1,417,200",52.0,19.1,demo_v1,
Poland,POL,2022-04-01,2022,4,243554.2,1048.1,1032.9,10.27,37.8,"1,454,400",52.0,19.1,demo_v1,
France,FRA,2021-02-01,2021,2,63199.6,4207.8,9193.4,-0.35,67.8,"3,867,600",46.2,2.2,demo_v1,
Norway,NOR,2023-05-01,2023,5,12865.0,981.3,1251.2,16.14,5.4,"1,196,400",60.5,8.5,demo_v1,
Germany,DEU,2023-08-01,2023,8,55796.6,,4218.1,18.14,83.2,"4,173,600",51.2,10.4,demo_v1,
France,FRA,2023-10-01,2023,10,57548.0,1711.4,7965.7,10.44,67.8,"3,906,000",46.2,2.2,demo_v1,
Spain,ESP,2021-10-01,2021,10,34706.4,,2285.5,10.44,47.4,"2,347,200",40.5,-3.7,demo_v1,
Spain,ESP,2021-02-01,2021,2,38517.9,,4532.8,-0.11,47.4,"2,337,600",40.5,-3.7,demo_v1,
France,FRA,2018-03-01,2018,3,52356.4,,3015.8,4.85,67.8,"3,825,600",46.2,2.2,demo_v1,
France,FRA,2015-12-01,2015,12,48840.2,774.3,8919.4,-1.03,67.8,"3,793,200",46.2,2.2,demo_v1,
Poland,POL,2018-11-01,2018,11,-9999.0,700.1,1863.9,0.17,37.8,"1,405,200",52.0,19.1,demo_v1,
Spain,ESP,2017-11-01,2017,11,31289.2,1891.1,2171.6,8.04,47.4,"2,290,800",40.5,-3.7,demo_v1,
France,FRA,2019-08-01,2019,8,42144.2,2301.3,2997.6,21.74,67.8,"3,846,000",46.2,2.2,demo_v1,
France,FRA,2023-07-01,2023,7,46388.7,1725.0,4962.4,21.63,67.8,"3,902,400",46.2,2.2,demo_v1,
France,FRA,2022-03-01,2022,3,62753.1,,7842.9,0.85,67.8,"3,883,200",46.2,2.2,demo_v1,
Spain,ESP,2022-12-01,2022,12,41328.6,2555.9,4622.6,0.93,47.4,"2,364,000",40.5,-3.7,demo_v1,
Spain,ESP,2018-08-01,2018,8,23217.7,,4937.5,18.28,47.4,"2,301,600",40.5,-3.7,demo_v1,
Spain,ESP,2019-04-01,2019,4,31007.0,1007.1,1800.9,11.77,47.4,"2,311,200",40.5,-3.7,demo_v1,
France,FRA,2021-06-01,2021,6,45621.4,1606.0,732.8,20.33,67.8,"3,872,400",46.2,2.2,demo_v1,
Germany,DEU,2020-12-01,2020,12,69167.5,3538.4,4936.3,2.67,83.2,"4,135,200",51.2,10.4,demo_v1,
Germany,DEU,2023-01-01,2023,1,75942.3,4540.2,7634.8,-2.95,83.2,"4,165,200",51.2,10.4,demo_v1,
United States,USA,2018-02-01,2018,2,511860.0,30546.6,46670.4,0.06,331.9,"34,244,400",39.8,-98.6,demo_v1,
United States,USA,2018-06-01,2018,6,397509.6,20837.5,61335.5,18.39,331.9,"34,249,200",39.8,-98.6,demo_v1,
Spain,ESP,2023-05-01,2023,5,30909.6,1473.5,4389.3,15.03,47.4,"2,370,000",40.5,-3.7,demo_v1,
United States,USA,2015-09-01,2015,9,347980.2,14888.5,36019.4,13.95,331.9,"34,209,600",39.8,-98.6,demo_v1,
United States,USA,2015-07-01,2015,7,327419.3,4914.9,56268.4,21.53,331.9,"34,207,200",39.8,-98.6,demo_v1,
United States,USA,2018-10-01,2018,10,442495.4,10592.3,72729.5,10.53,331.9,"34,254,000",39.8,-98.6,demo_v1,
USA,USA,2016-11-01,2016,11,439671.2,,62011.1,2.39,331.9,"34,226,400",39.8,-98.6,demo_v1,
Poland,POL,2016-10-01,2016,10,16520.8,,1119.3,11.24,37.8,"1,375,200",52.0,19.1,demo_v1,
Spain,ESP,2016-06-01,2016,6,21793.6,1904.4,2616.8,17.79,47.4,"2,270,400",40.5,-3.7,demo_v1,
France,FRA,2020-09-01,2020,9,49595.0,,9064.9,19.42,67.8,"3,861,600",46.2,2.2,demo_v1,
Spain,ESP,2020-12-01,2020,12,37059.5,2468.4,3640.7,-3.07,47.4,"2,335,200",40.5,-3.7,demo_v1,
Norway,NOR,2023-07-01,2023,7,11447.2,440.1,2616.3,21.44,5.4,"1,198,800",60.5,8.5,demo_v1,
Spain,ESP,2023-01-01,2023,1,38952.9,,3181.6,-2.77,47.4,"2,365,200",40.5,-3.7,demo_v1,
Germany,DEU,2015-04-01,2015,4,45684.0,,4877.6,11.39,83.2,"4,053,600",51.2,10.4,demo_v1,
Poland,POL,2022-02-01,2022,2,259858.1,686.1,796.2,-2.62,37.8,"1,452,000",52.0,19.1,demo_v1,
Spain,ESP,2019-12-01,2019,12,35716.7,1238.2,2932.2,0.05,47.4,"2,320,800",40.5,-3.7,demo_v1,
Poland,POL,2021-07-01,2021,7,206362.4,940.7,1349.3,23.51,37.8,"1,443,600",52.0,19.1,demo_v1,
France,FRA,2017-03-01,2017,3,48505.0,,3940.0,-0.15,67.8,"3,811,200",46.2,2.2,demo_v1,
Germany,DEU,2016-04-01,2016,4,47990.7,,5265.0,7.63,83.2,"4,068,000",51.2,10.4,demo_v1,
Germany,DEU,2020-09-01,2020,9,54779.2,3892.3,3802.6,17.54,83.2,"4,131,600",51.2,10.4,demo_v1,
Germany,DEU,2021-02-01,2021,2,69147.3,4265.4,6605.5,-0.17,83.2,"4,137,600",51.2,10.4,demo_v1,
Germany,DEU,2018-09-01,2018,9,50086.7,1958.6,5671.9,15.93,83.2,"4,102,800",51.2,10.4,demo_v1,
Germany,DEU,2017-10-01,2017,10,51140.1,1040.2,8041.6,12.88,83.2,"4,089,600",51.2,10.4,demo_v1,
Spain,ESP,2019-05-01,2019,5,28194.9,,1213.1,12.9,47.4,"2,312,400",40.5,-3.7,demo_v1,
France,FRA,2021-01-01,2021,1,62675.6,,0.0,0.43,67.8,"3,866,400",46.2,2.2,demo_v1,
United States,USA,2021-06-01,2021,6,436051.3,27722.1,46721.9,16.88,331.9,"34,292,400",39.8,-98.6,demo_v1,
Germany,DEU,2023-02-01,2023,2,73310.9,2956.0,3987.7,-1.07,83.2,"4,166,400",51.2,10.4,demo_v1,
Norway,NOR,2022-08-01,2022,8,10957.8,554.9,1133.6,20.74,5.4,"1,185,600",60.5,8.5,demo_v1,
Poland,POL,2019-01-01,2019,1,21059.3,618.3,1362.7,-3.03,37.8,"1,407,600",52.0,19.1,demo_v1,
Germany,DEU,2019-08-01,2019,8,46110.2,,882.4,21.4,83.2,"4,116,000",51.2,10.4,demo_v1,
Poland,POL,2017-04-01,2017,4,18030.5,1154.9,3149.9,8.18,37.8,"1,382,400",52.0,19.1,demo_v1,
Poland,POL,2015-05-01,2015,5,13903.8,876.4,1212.1,15.93,37.8,"1,354,800",52.0,19.1,demo_v1,
Spain,ESP,2023-11-01,2023,11,39644.1,2219.7,4492.1,4.66,47.4,"2,377,200",40.5,-3.7,demo_v1,
France,FRA,2016-08-01,2016,8,37696.8,2100.9,4425.8,20.2,67.8,"3,802,800",46.2,2.2,demo_v1,
France,FRA,2021-04-01,2021,4,54730.5,,5411.1,6.98,67.8,"3,870,000",46.2,2.2,demo_v1,
Germany,DEU,2019-12-01,2019,12,66002.8,3009.2,4915.3,-3.29,83.2,"4,120,800",51.2,10.4,demo_v1,
Spain,ESP,2022-02-01,2022,2,38145.5,2374.7,4363.9,1.88,47.4,"2,352,000",40.5,-3.7,demo_v1,
Spain,ESP,2017-06-01,2017,6,22905.9,472.4,2713.3,21.39,47.4,"2,284,800",40.5,-3.7,demo_v1,
Norway,NOR,2022-01-01,2022,1,15607.2,556.8,287.9,-3.88,5.4,"1,177,200",60.5,8.5,demo_v1,
France,FRA,2016-01-01,2016,1,52319.0,,4989.5,,67.8,"3,794,400",46.2,2.2,demo_v1,
Norway,NOR,2022-10-01,2022,10,13297.8,1196.4,2142.7,8.85,5.4,"1,188,000",60.5,8.5,demo_v1,
Poland,POL,2018-02-01,2018,2,20078.1,1156.7,2151.0,-1.55,37.8,"1,394,400",52.0,19.1,demo_v1,
Germany,DEU,2015-05-01,2015,5,39927.4,2007.3,244.5,13.42,83.2,"4,054,800",51.2,10.4,demo_v1,
United States,USA,2016-08-01,2016,8,335296.8,26405.8,19531.8,16.07,331.9,"34,222,800",39.8,-98.6,demo_v1,
Germany,DEU,2023-05-01,2023,5,57631.6,,4016.7,18.06,83.2,"4,170,000",51.2,10.4,demo_v1,
Germany,DEU,2018-02-01,2018,2,61443.3,3137.5,3231.4,-1.05,83.2,N/A,51.2,10.4,demo_v1,
Germany,DEU,2021-01-01,2021,1,67253.6,,453.5,1.14,83.2,"4,136,400",51.2,10.4,demo_v1,
United States,USA,2021-01-01,2021,1,565894.5,28113.1,15549.3,-3.73,331.9,"34,286,400",39.8,-98.6,demo_v1,
Poland,POL,2020-11-01,2020,11,21921.0,,750.8,6.96,37.8,"1,434,000",52.0,19.1,demo_v1,
Germany,DEU,2018-08-01,2018,8,43798.4,2148.8,2207.1,17.96,83.2,"4,101,600",51.2,10.4,demo_v1,
USA,USA,2016-12-01,2016,12,477773.8,,38488.8,-0.21,331.9,"34,227,600",39.8,-98.6,demo_v1,
France,FRA,2016-10-01,2016,10,48077.7,,2849.8,9.87,67.8,"3,805,200",46.2,2.2,demo_v1,
United States,USA,2022-09-01,2022,9,454009.6,33675.7,54343.4,15.27,331.9,"34,310,400",39.8,-98.6,demo_v1,
France,FRA,2018-11-01,2018,11,54001.0,3343.6,6195.7,7.4,67.8,"3,835,200",46.2,2.2,demo_v1,
France,FRA,2015-03-01,2015,3,45698.864,1673.2,6591.4,2.96,67.8,"3,782,400",46.2,2.2,demo_v1,
Spain,ESP,2019-03-01,2019,3,33823.3,909.7,1549.2,3.19,47.4,"2,310,000",40.5,-3.7,demo_v1,
United States,USA,2015-03-01,2015,3,418602.0,15691.8,35764.5,5.56,331.9,N/A,39.8,-98.6,demo_v1,
France,FRA,2015-01-01,2015,1,48813.3,,2247.9,-4.58,67.8,"3,780,000",46.2,2.2,demo_v1,
