country_name,iso3,date,year,month,electricity_demand_mwh,solar_generation_mwh,wind_generation_mwh,temperature_c,population_millions,gdp_usd,latitude,longitude,data_source,notes
Spain,ESP,2017-05-01,2017,5,25124.4,,3264.1,14.18,47.4,"2,283,600",40.5,-3.7,demo_v1,
Germany,DEU,2018-06-01,2018,6,43938.2,,591.5,21.86,83.2,"4,099,200",51.2,10.4,demo_v1,
Germany,DEU,2015-09-01,2015,9,41019.8,1662.1,7575.7,14.38,83.2,"4,059,600",51.2,10.4,demo_v1,
France,FRA,2015-02-01,2015,2,48670.9,,1087.2,-0.39,67.8,"3,781,200",46.2,2.2,demo_v1,
Spain,ESP,2015-09-01,2015,9,23946.2,780.9,3001.1,13.88,47.4,"2,259,600",40.5,-3.7,demo_v1,
Germany,DEU,2017-07-01,2017,7,41438.7,,4656.4,18.0,83.2,"4,086,000",51.2,10.4,demo_v1,
Spain,ESP,2016-08-01,2016,8,22983.5,1627.8,1863.6,21.1,47.4,"2,272,800",40.5,-3.7,demo_v1,
Spain,ESP,2016-07-01,2016,7,21739.5,1688.1,4389.1,21.15,47.4,"2,271,600",40.5,-3.7,demo_v1,
Germany,DEU,2016-07-01,2016,7,39007.2,,8061.1,23.38,83.2,"4,071,600",51.2,10.4,demo_v1,
Spain,ESP,2015-08-01,2015,8,21680.0,1710.4,1420.3,19.91,47.4,"2,258,400",40.5,-3.7,demo_v1,
Germany,DEU,2015-01-01,2015,1,53102.0,3566.7,4271.5,,83.2,"4,050,000",51.2,10.4,demo_v1,
France,FRA,2019-04-01,2019,4,-9999.0,,7034.6,6.98,67.8,"3,841,200",46.2,2.2,demo_v1,
Spain,ESP,2016-03-01,2016,3,29553.0,2092.3,2953.7,4.14,47.4,"2,266,800",40.5,-3.7,demo_v1,
France,FRA,2015-02-01,2015,2,49157.609000000004,,1087.2,-0.39,67.8,"3,781,200",46.2,2.2,demo_v1,
Spain,ESP,2015-12-01,2015,12,28974.7,2465.7,2682.7,2.42,47.4,"2,263,200",40.5,-3.7,demo_v1,
France,FRA,2018-03-01,2018,3,52356.4,,3015.8,4.85,67.8,"3,825,600",46.2,2.2,demo_v1,
France,FRA,2015-12-01,2015,12,48840.2,774.3,8919.4,-1.03,67.8,"3,793,200",46.2,2.2,demo_v1,
Spain,ESP,2017-11-01,2017,11,31289.2,1891.1,2171.6,8.04,47.4,"2,290,800",40.5,-3.7,demo_v1,
France,FRA,2019-08-01,2019,8,42144.2,2301.3,2997.6,21.74,67.8,"3,846,000",46.2,2.2,demo_v1,
Spain,ESP,2018-08-01,2018,8,23217.7,,4937.5,18.28,47.4,"2,301,600",40.5,-3.7,demo_v1,
Spain,ESP,2019-04-01,2019,4,31007.0,1007.1,1800.9,11.77,47.4,"2,311,200",40.5,-3.7,demo_v1,
Spain,ESP,2016-06-01,2016,6,21793.6,1904.4,2616.8,17.79,47.4,"2,270,400",40.5,-3.7,demo_v1,
Germany,DEU,2015-04-01,2015,4,45684.0,,4877.6,11.39,83.2,"4,053,600",51.2,10.4,demo_v1,
Spain,ESP,2019-12-01,2019,12,35716.7,1238.2,2932.2,0.05,47.4,"2,320,800",40.5,-3.7,demo_v1,
France,FRA,2017-03-01,2017,3,48505.0,,3940.0,-0.15,67.8,"3,811,200",46.2,2.2,demo_v1,
Germany,DEU,2016-04-01,2016,4,47990.7,,5265.0,7.63,83.2,"4,068,000",51.2,10.4,demo_v1,
Germany,DEU,2018-09-01,2018,9,50086.7,1958.6,5671.9,15.93,83.2,"4,102,800",51.2,10.4,demo_v1,
Germany,DEU,2017-10-01,2017,10,51140.1,1040.2,8041.6,12.88,83.2,"4,089,600",51.2,10.4,demo_v1,
Spain,ESP,2019-05-01,2019,5,28194.9,,1213.1,12.9,47.4,"2,312,400",40.5,-3.7,demo_v1,
Germany,DEU,2019-08-01,2019,8,46110.2,,882.4,21.4,83.2,"4,116,000",51.2,10.4,demo_v1,
France,FRA,2016-08-01,2016,8,37696.8,2100.9,4425.8,20.2,67.8,"3,802,800",46.2,2.2,demo_v1,
Germany,DEU,2019-12-01,2019,12,66002.8,3009.2,4915.3,-3.29,83.2,"4,120,800",51.2,10.4,demo_v1,
Spain,ESP,2017-06-01,2017,6,22905.9,472.4,2713.3,21.39,47.4,"2,284,800",40.5,-3.7,demo_v1,
France,FRA,2016-01-01,2016,1,52319.0,,4989.5,,67.8,"3,794,400",46.2,2.2,demo_v1,
Germany,DEU,2015-05-01,2015,5,39927.4,2007.3,244.5,13.42,83.2,"4,054,800",51.2,10.4,demo_v1,
Germany,DEU,2018-02-01,2018,2,61443.3,3137.5,3231.4,-1.05,83.2,N/A,51.2,10.4,demo_v1,
Germany,DEU,2018-08-01,2018,8,43798.4,2148.8,2207.1,17.96,83.2,"4,101,600",51.2,10.4,demo_v1,
France,FRA,2016-10-01,2016,10,48077.7,,2849.8,9.87,67.8,"3,805,200",46.2,2.2,demo_v1,
France,FRA,2018-11-01,2018,11,54001.0,3343.6,6195.7,7.4,67.8,"3,835,200",46.2,2.2,demo_v1,
France,FRA,2015-03-01,2015,3,45698.864,1673.2,6591.4,2.96,67.8,"3,782,400",46.2,2.2,demo_v1,
Spain,ESP,2019-03-01,2019,3,33823.3,909.7,1549.2,3.19,47.4,"2,310,000",40.5,-3.7,demo_v1,
France,FRA,2015-01-01,2015,1,48813.3,,2247.9,-4.58,67.8,"3,780,000",46.2,2.2,demo_v1,
France,FRA,2016-06-01,2016,6,37539.4,845.5,2362.5,23.16,67.8,"3,800,400",46.2,2.2,demo_v1,
Germany,DEU,2016-11-01,2016,11,55233.4,3711.8,4890.2,5.34,83.2,"4,076,400",51.2,10.4,demo_v1,
Germany,DEU,2019-06-01,2019,6,43767.7,,5591.8,20.48,83.2,"4,113,600",51.2,10.4,demo_v1,
France,FRA,2018-10-01,2018,10,48666.5,2505.0,6368.2,4.48,67.8,"3,834,000",46.2,2.2,demo_v1,
Germany,DEU,2015-12-01,2015,12,56517.1,1189.5,7077.0,-0.15,83.2,"4,063,200",51.2,10.4,demo_v1,
Spain,ESP,2016-12-01,2016,12,33705.4,1161.5,3861.6,-1.03,47.4,"2,277,600",40.5,-3.7,demo_v1,
France,FRA,2019-11-01,2019,11,60188.7,4943.2,4766.0,4.44,67.8,"3,849,600",46.2,2.2,demo_v1,
France,FRA,2015-01-01,2015,1,48330.0,,2247.9,-4.58,67.8,"3,780,000",46.2,2.2,demo_v1,
Germany,DEU,2017-12-01,2017,12,61251.2,2443.2,4823.3,-1.98,83.2,"4,092,000",51.2,10.4,demo_v1,
France,FRA,2019-03-01,2019,3,54886.0,,2387.0,3.63,67.8,"3,840,000",46.2,2.2,demo_v1,
Germany,DEU,2016-02-01,2016,2,54841.9,,4482.8,,83.2,"4,065,600",51.2,10.4,demo_v1,
Germany,DEU,2016-06-01,2016,6,38957.4,1554.7,6551.1,16.41,83.2,"4,070,400",51.2,10.4,demo_v1,
France,FRA,2017-10-01,2017,10,47838.8,,5862.5,12.34,67.8,"3,819,600",46.2,2.2,demo_v1,
Spain,ESP,2017-04-01,2017,4,25822.4,1880.3,1328.2,11.92,47.4,N/A,40.5,-3.7,demo_v1,
Spain,ESP,2015-10-01,2015,10,26781.6,2887.7,5530.6,9.56,47.4,"2,260,800",40.5,-3.7,demo_v1,
Germany,DEU,2018-01-01,2018,1,59605.4,1557.7,8061.2,-2.31,83.2,"4,093,200",51.2,10.4,demo_v1,
Germany,DEU,2017-01-01,2017,1,55943.8,,771.7,-6.07,83.2,"4,078,800",51.2,10.4,demo_v1,
France,FRA,2015-07-01,2015,7,36280.6,1317.3,4529.1,18.56,67.8,"3,787,200",46.2,2.2,demo_v1,
Spain,ESP,2015-07-01,2015,7,20817.0,,2568.4,19.72,47.4,"2,257,200",40.5,-3.7,demo_v1,
Spain,ESP,2018-10-01,2018,10,29447.1,,5164.8,10.39,47.4,"2,304,000",40.5,-3.7,demo_v1,
France,FRA,2015-04-01,2015,4,44858.645,1733.9,5512.8,9.55,67.8,"3,783,600",46.2,2.2,demo_v1,
Spain,ESP,2016-04-01,2016,4,27323.9,1225.7,1778.5,9.62,47.4,"2,268,000",40.5,-3.7,demo_v1,
Germany,DEU,2018-10-01,2018,10,52397.3,2151.4,6509.5,9.4,83.2,"4,104,000",51.2,10.4,demo_v1,
France,FRA,2017-04-01,2017,4,46663.8,2672.2,4255.0,9.15,67.8,"3,812,400",46.2,2.2,demo_v1,
France,FRA,2019-01-01,2019,1,58119.7,2925.8,6713.4,1.91,67.8,"3,837,600",46.2,2.2,demo_v1,
Spain,ESP,2018-04-01,2018,4,29136.4,640.8,345.7,7.87,47.4,"2,296,800",40.5,-3.7,demo_v1,
Germany,DEU,2018-05-01,2018,5,45999.9,,8433.0,13.09,83.2,"4,098,000",51.2,10.4,demo_v1,
France,FRA,2018-12-01,2018,12,59637.9,,5317.6,1.18,67.8,"3,836,400",46.2,2.2,demo_v1,
Spain,ESP,2018-11-01,2018,11,32384.4,998.4,3552.1,3.51,47.4,"2,305,200",40.5,-3.7,demo_v1,
Spain,ESP,2017-08-01,2017,8,23653.3,,4205.3,,47.4,"2,287,200",40.5,-3.7,demo_v1,
Germany,DEU,2015-03-01,2015,3,48712.3,2212.6,6162.4,4.71,83.2,"4,052,400",51.2,10.4,demo_v1,
Spain,ESP,2017-10-01,2017,10,29172.8,1259.8,3385.9,8.35,47.4,"2,289,600",40.5,-3.7,demo_v1,
Spain,ESP,2017-08-01,2017,8,23653.3,,4205.3,,47.4,"2,287,200",40.5,-3.7,demo_v1,
France,FRA,2015-03-01,2015,3,45246.4,1673.2,6591.4,2.96,67.8,"3,782,400",46.2,2.2,demo_v1,
France,FRA,2017-07-01,2017,7,38409.0,1703.4,5895.9,18.67,67.8,"3,816,000",46.2,2.2,demo_v1,
France,FRA,2017-06-01,2017,6,39674.2,,5164.2,20.68,67.8,"3,814,800",46.2,2.2,demo_v1,
Germany,DEU,2019-05-01,2019,5,50679.9,1459.4,4919.3,17.68,83.2,"4,112,400",51.2,10.4,demo_v1,
Germany,DEU,2017-11-01,2017,11,55610.8,2620.5,4554.3,2.05,83.2,"4,090,800",51.2,10.4,demo_v1,
Spain,ESP,2015-06-01,2015,6,21822.1,,2148.7,21.01,47.4,"2,256,000",40.5,-3.7,demo_v1,
France,FRA,2017-01-01,2017,1,53132.7,1846.1,4071.9,-3.1,67.8,"3,808,800",46.2,2.2,demo_v1,
Germany,DEU,2015-02-01,2015,2,51510.5,,5098.9,2.29,83.2,"4,051,200",51.2,10.4,demo_v1,
France,FRA,2015-06-01,2015,6,36110.6,1203.3,4384.2,20.5,67.8,"3,786,000",46.2,2.2,demo_v1,
Spain,ESP,2017-03-01,2017,3,30494.8,2062.1,2642.9,6.05,47.4,"2,281,200",40.5,-3.7,demo_v1,
Spain,ESP,2017-02-01,2017,2,32420.3,2281.6,3762.8,-0.53,47.4,"2,280,000",40.5,-3.7,demo_v1,
Spain,ESP,2015-03-01,2015,3,28553.0,1842.1,3867.8,1.8,47.4,"2,252,400",40.5,-3.7,demo_v1,
Spain,ESP,2019-08-01,2019,8,26416.9,,1723.8,18.49,47.4,"2,316,000",40.5,-3.7,demo_v1,
Germany,DEU,2016-10-01,2016,10,48491.3,1496.8,4921.5,9.11,83.2,"4,075,200",51.2,10.4,demo_v1,
Spain,ESP,2016-10-01,2016,10,27124.3,1160.7,2164.3,12.23,47.4,"2,275,200",40.5,-3.7,demo_v1,
Germany,DEU,2017-03-01,2017,3,52800.0,2208.5,5458.4,4.99,83.2,"4,081,200",51.2,10.4,demo_v1,
France,FRA,2017-08-01,2017,8,40399.5,2334.0,5274.6,21.16,67.8,"3,817,200",46.2,2.2,demo_v1,
Spain,ESP,2016-02-01,2016,2,30432.4,2072.3,2032.7,-4.66,47.4,"2,265,600",40.5,-3.7,demo_v1,
Germany,DEU,2016-12-01,2016,12,56221.0,,4936.6,,83.2,"4,077,600",51.2,10.4,demo_v1,
Spain,ESP,2019-02-01,2019,2,34285.3,776.8,2913.6,,47.4,"2,308,800",40.5,-3.7,demo_v1,
Germany,DEU,2018-07-01,2018,7,43068.9,2277.3,3088.0,22.91,83.2,"4,100,400",51.2,10.4,demo_v1,
Germany,DEU,2019-04-01,2019,4,57234.1,4303.2,2115.7,6.62,83.2,"4,111,200",51.2,10.4,demo_v1,
France,FRA,2017-11-01,2017,11,53581.4,,1021.8,5.89,67.8,"3,820,800",46.2,2.2,demo_v1,
Germany,DEU,2018-03-01,2018,3,55555.9,,4021.2,3.4,83.2,"4,095,600",51.2,10.4,demo_v1,
France,FRA,2015-09-01,2015,9,40751.4,,2106.6,14.51,67.8,"3,789,600",46.2,2.2,demo_v1,
Spain,ESP,2018-09-01,2018,9,27276.8,616.1,3161.3,,47.4,"2,302,800",40.5,-3.7,demo_v1,
Spain,ESP,2019-01-01,2019,1,34851.1,2394.1,2267.8,-3.58,47.4,"2,307,600",40.5,-3.7,demo_v1,
France,FRA,2018-05-01,2018,5,44260.6,2964.0,5969.4,18.14,67.8,"3,828,000",46.2,2.2,demo_v1,
France,FRA,2016-09-01,2016,9,39888.4,2232.4,4530.7,18.58,67.8,"3,804,000",46.2,2.2,demo_v1,
France,FRA,2018-02-01,2018,2,56185.2,4949.4,8302.2,-0.6,67.8,"3,824,400",46.2,2.2,demo_v1,
France,FRA,2019-09-01,2019,9,47146.3,1446.6,4788.3,15.3,67.8,"3,847,200",46.2,2.2,demo_v1,
Spain,ESP,2015-01-01,2015,1,29424.9,2001.0,4414.4,-2.98,47.4,"2,250,000",40.5,-3.7,demo_v1,
Germany,DEU,2019-10-01,2019,10,53603.8,1742.4,5433.6,8.43,83.2,"4,118,400",51.2,10.4,demo_v1,
France,FRA,2017-07-01,2017,7,38409.0,1703.4,5895.9,18.67,67.8,"3,816,000",46.2,2.2,demo_v1,
Germany,DEU,2018-04-01,2018,4,49868.6,1828.6,9043.8,8.66,83.2,"4,096,800",51.2,10.4,demo_v1,
Germany,DEU,2018-12-01,2018,12,62502.9,2417.4,1529.6,,83.2,"4,106,400",51.2,10.4,demo_v1,
France,FRA,2015-10-01,2015,10,42037.6,2902.5,2755.0,8.56,67.8,"3,790,800",46.2,2.2,demo_v1,
Spain,ESP,2016-05-01,2016,5,25069.5,,4388.8,14.72,47.4,"2,269,200",40.5,-3.7,demo_v1,
France,FRA,2016-02-01,2016,2,53995.3,1702.3,1022.3,-2.42,67.8,"3,795,600",46.2,2.2,demo_v1,
Spain,ESP,2017-07-01,2017,7,23664.7,,4190.8,22.04,47.4,"2,286,000",40.5,-3.7,demo_v1,
Spain,ESP,2018-01-01,2018,1,33361.1,2078.8,2834.1,-1.9,47.4,"2,293,200",40.5,-3.7,demo_v1,
Spain,ESP,2019-11-01,2019,11,33845.4,1495.3,4313.2,-0.28,47.4,"2,319,600",40.5,-3.7,demo_v1,
France,FRA,2016-05-01,2016,5,41308.6,1306.4,0.0,,67.8,"3,799,200",46.2,2.2,demo_v1,
Germany,DEU,2015-11-01,2015,11,51181.0,3018.1,1918.0,4.15,83.2,N/A,95.4,10.4,demo_v1,
Germany,DEU,2019-07-01,2019,7,44539.5,2248.1,2820.2,18.97,83.2,"4,114,800",51.2,10.4,demo_v1,
France,FRA,2017-09-01,2017,9,42266.8,2055.2,6091.6,16.86,67.8,"3,818,400",46.2,2.2,demo_v1,
Germany,DEU,2017-06-01,2017,6,42721.9,1497.0,7355.9,20.78,83.2,"4,084,800",51.2,10.4,demo_v1,
France,FRA,2016-11-01,2016,11,48900.7,,4484.5,1.91,67.8,"3,806,400",46.2,2.2,demo_v1,
Germany,DEU,2016-03-01,2016,3,51693.4,3728.5,8510.3,2.65,83.2,"4,066,800",51.2,10.4,demo_v1,
France,FRA,2018-09-01,2018,9,41906.1,,6692.8,16.76,67.8,"3,832,800",46.2,2.2,demo_v1,
France,FRA,2017-04-01,2017,4,46663.8,2672.2,4255.0,9.15,67.8,"3,812,400",46.2,2.2,demo_v1,
Spain,ESP,2016-09-01,2016,9,24546.5,,2073.3,,47.4,"2,274,000",40.5,-3.7,demo_v1,
France,FRA,2019-02-01,2019,2,57785.0,,5078.5,2.29,67.8,"3,838,800",46.2,2.2,demo_v1,
Germany,DEU,2019-02-01,2019,2,63760.9,4271.1,3822.3,2.64,83.2,"4,108,800",51.2,10.4,demo_v1,
France,FRA,2018-07-01,2018,7,38247.5,2546.4,4492.6,22.62,67.8,"3,830,400",46.2,2.2,demo_v1,
France,FRA,2019-06-01,2019,6,44307.5,,5759.2,19.44,67.8,"3,843,600",46.2,2.2,demo_v1,
France,FRA,2018-01-01,2018,1,54491.5,2218.4,7559.7,-2.74,67.8,"3,823,200",46.2,2.2,demo_v1,
France,FRA,2018-04-01,2018,4,49128.4,2631.1,6918.0,8.46,67.8,"3,826,800",46.2,2.2,demo_v1,
Spain,ESP,2015-05-01,2015,5,23220.8,2340.8,1475.1,15.78,47.4,"2,254,800",40.5,-3.7,demo_v1,
Spain,ESP,2019-07-01,2019,7,25287.9,,4362.9,19.7,47.4,"2,314,800",40.5,-3.7,demo_v1,
Germany,DEU,2015-07-01,2015,7,37963.3,2048.5,0.0,20.92,83.2,"4,057,200",51.2,10.4,demo_v1,
Spain,ESP,2015-11-01,2015,11,28969.3,,2890.4,7.1,47.4,"2,262,000",40.5,-3.7,demo_v1,
Spain,ESP,2017-09-01,2017,9,25474.3,,2863.8,14.2,47.4,"2,288,400",40.5,-3.7,demo_v1,
France,FRA,2015-11-01,2015,11,48444.4,1916.7,5619.7,2.06,67.8,"3,792,000",46.2,2.2,demo_v1,
France,FRA,2015-05-01,2015,5,37953.1,,4262.0,17.21,67.8,"3,784,800",46.2,2.2,demo_v1,
Germany,DEU,2016-08-01,2016,8,40470.9,1943.1,4330.8,23.44,83.2,"4,072,800",51.2,10.4,demo_v1,
Germany,DEU,2015-08-01,2015,8,38992.0,,1162.9,19.44,83.2,"4,058,400",51.2,10.4,demo_v1,
France,FRA,2019-05-01,2019,5,44902.2,,3098.4,12.96,67.8,"3,842,400",46.2,2.2,demo_v1,
Germany,DEU,2018-11-01,2018,11,57811.3,2969.2,7861.9,5.36,83.2,"4,105,200",51.2,10.4,demo_v1,
Spain,ESP,2015-02-01,2015,2,27497.1,1539.9,2771.2,-0.17,47.4,"2,251,200",40.5,-3.7,demo_v1,
France,FRA,2016-04-01,2016,4,42662.9,,7833.5,4.36,67.8,"3,798,000",46.2,2.2,demo_v1,
Germany,DEU,2015-03-01,2015,3,48712.3,2212.6,6162.4,4.71,83.2,"4,052,400",51.2,10.4,demo_v1,
Germany,DEU,2017-05-01,2017,5,44124.3,,5037.3,13.89,83.2,"4,083,600",51.2,10.4,demo_v1,
Germany,DEU,2016-09-01,2016,9,43658.1,,5822.7,15.76,83.2,"4,074,000",51.2,10.4,demo_v1,
Germany,DEU,2017-08-01,2017,8,41246.2,2609.9,0.0,22.09,83.2,"4,087,200",51.2,10.4,demo_v1,
Germany,DEU,2015-10-01,2015,10,46574.5,3655.1,3505.6,9.78,83.2,"4,060,800",51.2,10.4,demo_v1,
France,FRA,2017-03-01,2017,3,48505.0,,3940.0,-0.15,67.8,"3,811,200",46.2,2.2,demo_v1,
Spain,ESP,2019-10-01,2019,10,29680.6,1338.3,2437.8,10.33,47.4,"2,318,400",40.5,-3.7,demo_v1,
France,FRA,2017-12-01,2017,12,55099.3,0.0,5491.3,-3.38,67.8,"3,822,000",46.2,2.2,demo_v1,
Spain,ESP,2019-09-01,2019,9,27754.4,490.6,4772.3,11.19,47.4,"2,317,200",40.5,-3.7,demo_v1,
France,FRA,2015-08-01,2015,8,37157.8,1207.0,447.3,20.27,67.8,"3,788,400",46.2,2.2,demo_v1,
Germany,DEU,2019-01-01,2019,1,65130.3,3006.7,6291.2,-0.44,83.2,N/A,51.2,10.4,demo_v1,
France,FRA,2017-05-01,2017,5,42024.3,,3997.0,14.89,67.8,"3,813,600",46.2,2.2,demo_v1,
France,FRA,2017-02-01,2017,2,53776.6,2907.7,1473.1,-0.26,67.8,"3,810,000",46.2,2.2,demo_v1,
