country,date,temperature_c,latitude,longitude
Spain,2016-03-01,4.14,40.5,-3.7
France,2015-02-01,-0.39,46.2,2.2
Spain,2022-06-01,18.73,40.5,-3.7
France,2023-01-01,-2.56,46.2,2.2
Spain,2015-12-01,2.42,40.5,-3.7
France,2021-02-01,-0.35,46.2,2.2
Germany,2023-08-01,18.14,51.2,10.4
France,2023-10-01,10.44,46.2,2.2
Spain,2021-10-01,10.44,40.5,-3.7
Spain,2021-02-01,-0.11,40.5,-3.7
France,2018-03-01,4.85,46.2,2.2
France,2015-12-01,-1.03,46.2,2.2
Spain,2017-11-01,8.04,40.5,-3.7
France,2019-08-01,21.74,46.2,2.2
France,2023-07-01,21.63,46.2,2.2
France,2022-03-01,0.85,46.2,2.2
Spain,2022-12-01,0.93,40.5,-3.7
Spain,2018-08-01,18.28,40.5,-3.7
Spain,2019-04-01,11.77,40.5,-3.7
France,2021-06-01,20.33,46.2,2.2
Germany,2020-12-01,2.67,51.2,10.4
Germany,2023-01-01,-2.95,51.2,10.4
Spain,2023-05-01,15.03,40.5,-3.7
Spain,2016-06-01,17.79,40.5,-3.7
France,2020-09-01,19.42,46.2,2.2
Spain,2020-12-01,-3.07,40.5,-3.7
Spain,2023-01-01,-2.77,40.5,-3.7
Germany,2015-04-01,11.39,51.2,10.4
Spain,2019-12-01,0.05,40.5,-3.7
France,2017-03-01,-0.15,46.2,2.2
Germany,2016-04-01,7.63,51.2,10.4
Germany,2020-09-01,17.54,51.2,10.4
Germany,2021-02-01,-0.17,51.2,10.4
Germany,2018-09-01,15.93,51.2,10.4
Germany,2017-10-01,12.88,51.2,10.4
Spain,2019-05-01,12.9,40.5,-3.7
France,2021-01-01,0.43,46.2,2.2
Germany,2023-02-01,-1.07,51.2,10.4
Germany,2019-08-01,21.4,51.2,10.4
Spain,2023-11-01,4.66,40.5,-3.7
France,2016-08-01,20.2,46.2,2.2
France,2021-04-01,6.98,46.2,2.2
Germany,2019-12-01,-3.29,51.2,10.4
Spain,2022-02-01,1.88,40.5,-3.7
Spain,2017-06-01,21.39,40.5,-3.7
France,2016-01-01,,46.2,2.2
Germany,2015-05-01,13.42,51.2,10.4
Germany,2023-05-01,18.06,51.2,10.4
Germany,2018-02-01,-1.05,51.2,10.4
Germany,2021-01-01,1.14,51.2,10.4
Germany,2018-08-01,17.96,51.2,10.4
France,2016-10-01,9.87,46.2,2.2
France,2018-11-01,7.4,46.2,2.2
France,2015-03-01,2.96,46.2,2.2
Spain,2019-03-01,3.19,40.5,-3.7
France,2015-01-01,-4.58,46.2,2.2
Spain,2021-11-01,3.99,40.5,-3.7
France,2022-04-01,11.08,46.2,2.2
France,2023-05-01,15.94,46.2,2.2
Germany,2022-12-01,-2.69,51.2,10.4
France,2016-06-01,23.16,46.2,2.2
Germany,2020-08-01,17.74,51.2,10.4
Germany,2016-11-01,5.34,51.2,10.4
Germany,2019-06-01,20.48,51.2,10.4
Spain,2023-10-01,9.75,40.5,-3.7
France,2018-10-01,4.48,46.2,2.2
Germany,2015-12-01,-0.15,51.2,10.4
Spain,2016-12-01,-1.03,40.5,-3.7
France,2019-11-01,4.44,46.2,2.2
Spain,2021-03-01,1.88,40.5,-3.7
France,2015-01-01,-4.58,46.2,2.2
Germany,2017-12-01,-1.98,51.2,10.4
Germany,2022-04-01,8.99,51.2,10.4
France,2019-03-01,3.63,46.2,2.2
France,2023-08-01,21.5,46.2,2.2
Spain,2020-06-01,22.48,40.5,-3.7
Spain,2020-04-01,8.9,40.5,-3.7
Germany,2016-02-01,,51.2,10.4
Spain,2023-03-01,6.13,40.5,-3.7
France,2022-06-01,23.57,46.2,2.2
Germany,2016-06-01,16.41,51.2,10.4
Spain,2022-10-01,8.65,40.5,-3.7
France,2017-10-01,12.34,46.2,2.2
Germany,2023-03-01,3.62,51.2,10.4
Spain,2017-04-01,11.92,40.5,-3.7
Spain,2015-10-01,9.56,40.5,-3.7
Germany,2018-01-01,-2.31,51.2,10.4
Germany,2021-08-01,22.16,51.2,10.4
Germany,2017-01-01,-6.07,51.2,10.4
Germany,2020-06-01,20.82,51.2,10.4
France,2015-07-01,18.56,46.2,2.2
Spain,2015-07-01,19.72,40.5,-3.7
Spain,2018-10-01,10.39,40.5,-3.7
France,2020-10-01,11.28,46.2,2.2
France,2015-04-01,9.55,46.2,2.2
Spain,2016-04-01,9.62,40.5,-3.7
Germany,2023-09-01,14.71,51.2,10.4
France,2020-12-01,-1.05,46.2,2.2
Germany,2018-10-01,9.4,51.2,10.4
France,2021-12-01,-0.15,46.2,2.2
France,2017-04-01,9.15,46.2,2.2
France,2022-11-01,3.67,46.2,2.2
France,2019-01-01,1.91,46.2,2.2
Spain,2018-04-01,7.87,40.5,-3.7
Germany,2018-05-01,13.09,51.2,10.4
Spain,2023-12-01,0.77,40.5,-3.7
France,2018-12-01,1.18,46.2,2.2
Germany,2023-04-01,8.43,51.2,10.4
Germany,2020-10-01,9.88,51.2,10.4
Spain,2018-11-01,3.51,40.5,-3.7
France,2020-01-01,-4.87,46.2,2.2
Spain,2017-08-01,,40.5,-3.7
Germany,2015-03-01,4.71,51.2,10.4
Spain,2017-10-01,8.35,40.5,-3.7
Germany,2020-11-01,3.64,51.2,10.4
Spain,2017-08-01,,40.5,-3.7
Spain,2023-08-01,21.93,40.5,-3.7
Germany,2022-07-01,,51.2,10.4
France,2015-03-01,2.96,46.2,2.2
France,2017-07-01,18.67,46.2,2.2
France,2022-02-01,-1.45,46.2,2.2
France,2017-06-01,20.68,46.2,2.2
Germany,2019-05-01,17.68,51.2,10.4
Germany,2022-05-01,,51.2,10.4
France,2021-10-01,,46.2,2.2
Germany,2017-11-01,2.05,51.2,10.4
Spain,2022-05-01,17.78,40.5,-3.7
Spain,2015-06-01,21.01,40.5,-3.7
France,2022-10-01,10.85,46.2,2.2
Germany,2022-11-01,3.89,51.2,10.4
France,2021-08-01,,46.2,2.2
France,2017-01-01,-3.1,46.2,2.2
Germany,2015-02-01,2.29,51.2,10.4
Germany,2022-10-01,14.52,51.2,10.4
France,2015-06-01,20.5,46.2,2.2
Spain,2017-03-01,6.05,40.5,-3.7
Spain,2017-02-01,-0.53,40.5,-3.7
France,2022-12-01,2.88,46.2,2.2
Spain,2015-03-01,1.8,40.5,-3.7
Spain,2019-08-01,18.49,40.5,-3.7
Germany,2016-10-01,9.11,51.2,10.4
Spain,2016-10-01,12.23,40.5,-3.7
Germany,2020-03-01,2.94,51.2,10.4
Germany,2017-03-01,4.99,51.2,10.4
Germany,2021-06-01,22.14,51.2,10.4
France,2017-08-01,21.16,46.2,2.2
Spain,2016-02-01,-4.66,40.5,-3.7
Spain,2022-09-01,12.96,40.5,-3.7
Germany,2016-12-01,,51.2,10.4
France,2020-04-01,9.95,46.2,2.2
Spain,2019-02-01,,40.5,-3.7
Germany,2018-07-01,22.91,51.2,10.4
Germany,2023-11-01,1.91,51.2,10.4
France,2023-09-01,14.84,46.2,2.2
Germany,2019-04-01,6.62,51.2,10.4
Spain,2022-03-01,5.65,40.5,-3.7
France,2017-11-01,5.89,46.2,2.2
Germany,2018-03-01,3.4,51.2,10.4
Germany,2021-11-01,3.59,51.2,10.4
France,2015-09-01,14.51,46.2,2.2
Spain,2018-09-01,,40.5,-3.7
Spain,2019-01-01,-3.58,40.5,-3.7
France,2018-05-01,18.14,46.2,2.2
France,2016-09-01,18.58,46.2,2.2
Germany,2022-03-01,6.96,51.2,10.4
France,2018-02-01,-0.6,46.2,2.2
France,2019-09-01,15.3,46.2,2.2
Spain,2020-05-01,13.6,40.5,-3.7
Spain,2015-01-01,-2.98,40.5,-3.7
Germany,2019-10-01,8.43,51.2,10.4
France,2022-07-01,20.16,46.2,2.2
France,2017-07-01,18.67,46.2,2.2
Germany,2021-05-01,16.14,51.2,10.4
Germany,2018-04-01,8.66,51.2,10.4
France,2023-06-01,16.19,46.2,2.2
Germany,2018-12-01,,51.2,10.4
Spain,2020-03-01,4.44,40.5,-3.7
Spain,2020-11-01,-0.02,40.5,-3.7
France,2020-11-01,3.32,46.2,2.2
Germany,2023-06-01,22.0,51.2,10.4
France,2020-05-01,,46.2,2.2
France,2015-10-01,8.56,46.2,2.2
Spain,2016-05-01,14.72,40.5,-3.7
France,2016-02-01,-2.42,46.2,2.2
France,2023-11-01,2.8,46.2,2.2
Spain,2021-12-01,-2.1,40.5,-3.7
Spain,2017-07-01,22.04,40.5,-3.7
Spain,2018-01-01,-1.9,40.5,-3.7
Spain,2022-11-01,6.36,40.5,-3.7
Spain,2019-11-01,-0.28,40.5,-3.7
Spain,2021-07-01,22.09,40.5,-3.7
France,2016-05-01,,46.2,2.2
Germany,2015-11-01,4.15,95.4,10.4
Spain,2023-09-01,21.65,40.5,-3.7
Germany,2019-07-01,18.97,51.2,10.4
France,2017-09-01,16.86,46.2,2.2
Germany,2017-06-01,20.78,51.2,10.4
France,2016-11-01,1.91,46.2,2.2
Germany,2020-01-01,-1.84,51.2,10.4
France,2023-02-01,-1.67,46.2,2.2
Germany,2016-03-01,2.65,51.2,10.4
Spain,2022-01-01,-0.21,40.5,-3.7
France,2018-09-01,16.76,46.2,2.2
Spain,2021-04-01,10.19,40.5,-3.7
Spain,2020-08-01,18.22,40.5,-3.7
France,2021-05-01,15.85,46.2,2.2
France,2021-09-01,15.83,46.2,2.2
France,2017-04-01,9.15,46.2,2.2
France,2022-01-01,-3.04,46.2,2.2
Spain,2016-09-01,,40.5,-3.7
Spain,2021-01-01,-1.99,40.5,-3.7
France,2019-02-01,2.29,46.2,2.2
Germany,2019-02-01,2.64,51.2,10.4
France,2018-07-01,22.62,46.2,2.2
France,2019-06-01,19.44,46.2,2.2
France,2018-01-01,-2.74,46.2,2.2
France,2020-02-01,0.03,46.2,2.2
France,2018-04-01,8.46,46.2,2.2
Spain,2015-05-01,15.78,40.5,-3.7
France,2020-07-01,26.11,46.2,2.2
Spain,2019-07-01,19.7,40.5,-3.7
Germany,2021-04-01,8.84,51.2,10.4
Germany,2015-07-01,20.92,51.2,10.4
Spain,2015-11-01,7.1,40.5,-3.7
France,2023-12-01,-1.39,46.2,2.2
Germany,2023-03-01,3.62,51.2,10.4
Spain,2017-09-01,14.2,40.5,-3.7
Germany,2023-10-01,11.97,51.2,10.4
France,2015-11-01,2.06,46.2,2.2
France,2023-03-01,5.96,46.2,2.2
France,2015-05-01,17.21,46.2,2.2
Spain,2022-08-01,17.48,40.5,-3.7
Germany,2016-08-01,23.44,51.2,10.4
Germany,2015-08-01,19.44,51.2,10.4
France,2019-05-01,12.96,46.2,2.2
Germany,2018-11-01,5.36,51.2,10.4
Spain,2023-02-01,2.5,40.5,-3.7
Spain,2021-09-01,13.7,40.5,-3.7
Spain,2015-02-01,-0.17,40.5,-3.7
France,2016-04-01,4.36,46.2,2.2
France,2022-08-01,16.44,46.2,2.2
Germany,2015-03-01,4.71,51.2,10.4
Germany,2017-05-01,13.89,51.2,10.4
Germany,2016-09-01,15.76,51.2,10.4
Germany,2017-08-01,22.09,51.2,10.4
Germany,2021-10-01,8.01,51.2,10.4
Germany,2015-10-01,9.78,51.2,10.4
France,2020-03-01,2.22,46.2,2.2
France,2017-03-01,-0.15,46.2,2.2
Germany,2023-07-01,23.2,51.2,10.4
Spain,2019-10-01,10.33,40.5,-3.7
Spain,2023-07-01,23.58,40.5,-3.7
France,2017-12-01,-3.38,46.2,2.2
Germany,2020-02-01,-4.79,51.2,10.4
Spain,2019-09-01,11.19,40.5,-3.7
France,2015-08-01,20.27,46.2,2.2
Germany,2022-02-01,-0.79,51.2,10.4
Germany,2019-01-01,-0.44,51.2,10.4
France,2017-05-01,14.89,46.2,2.2
France,2017-02-01,-0.26,46.2,2.2
